Name,Verein,Position,Einsatz,SpielMinuten,Balleroberungen
Marcel Sabitzer,RB Leipzig,Rechte Außenbahn,30.0,2492.0,4.0
Janik Haberer,SC Freiburg,Offensives Mittelfeld,27.0,2497.0,4.0
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,4.0
Andrej Kramaric,TSG 1899 Hoffenheim,Stürmer,30.0,2548.0,4.0
Jonas Hofmann,B. Mönchengladbach,Zentrales Mittelfeld,27.0,2019.0,3.0
Mikael Ishak,1. FC Nürnberg,Stürmer,29.0,2030.0,3.0
Nicolás González,VfB Stuttgart,Stürmer,30.0,2288.0,3.0
Wout Weghorst,VfL Wolfsburg,Stürmer,34.0,3098.0,4.0
Yussuf Poulsen,RB Leipzig,Stürmer,31.0,2595.0,3.0
Kevin Volland,Bayer 04 Leverkusen,Stürmer,34.0,2983.0,3.0
