Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter
Christian Mathenia,1. FC Nürnberg,Torhüter,22.0,2067.0,,0.0,2.0
Sven Ulreich,FC Bayern München,Torhüter,9.0,809.0,,0.0,3.0
Manuel Neuer,FC Bayern München,Torhüter,26.0,2438.0,,0.0,3.0
Ron-Robert Zieler,VfB Stuttgart,Torhüter,34.0,3240.0,,0.0,3.0
Yann Sommer,B. Mönchengladbach,Torhüter,34.0,3252.0,,0.0,3.0
Florian Müller,1. FSV Mainz 05,Torhüter,24.0,2300.0,,0.0,4.0
Roman Bürki,Borussia Dortmund,Torhüter,32.0,3090.0,,0.0,4.0
Jirí Pavlenka,SV Werder Bremen,Torhüter,34.0,3188.0,,0.0,4.0
Péter Gulácsi,RB Leipzig,Torhüter,33.0,3097.0,,0.0,5.0
Oliver Baumann,TSG 1899 Hoffenheim,Torhüter,33.0,3186.0,,0.0,6.0
Michael Rensing,Fortuna Düsseldorf,Torhüter,32.0,3068.0,,0.0,7.0
Alexander Schwolow,SC Freiburg,Torhüter,33.0,3188.0,,0.0,7.0
